name	alias
AVASTIN	Bevacizumab
AVASTIN (BEVACIZUMAB)	Bevacizumab
AVASTIN/BEVACIZUMAB/PLACEBO	Bevacizumab
AXITINIB	Axitinib
AZ628	Sorafenib tosylate
AZD	AZD
AZD 2281	Olaparib
AZD0530	saracatinib
AZD2281	Olaparib
AZD6244	Selumetinib
AZD6482	AZD6482
AZD7762	AZD7762
AZD8055	AZD8055
Abagovomab or Placebo	Abagovomab
Abagovomab vs Placebo	Abagovomab
Abagovomag	abagovomab
Abagovomag vs Placebo	Abagovomab
Abiraterone	Abiraterone
Abraxane	Paclitaxel
Acctuane	accutane
Actinomycin-D	Dactinomycin
Adriamycin	Doxorubicin
Adriamycin (doxorubicin)	Doxorubicin
Adriamycin, cytoxan, avastin	Doxorubicin+Cyclophosphamide+Bevacizumab
Adriamycin/Cytoxan	Doxorubicin+Cyclophosphamide
Adriamyicin	Doxorubicin
Adrimycin	Doxorubicin
Adrimycin	adriamycin
Afatinib	Afatinib
Afinitor	Everolimus
Aflibercept	Aflibercept
Aflibercept/ Placebo Study	Aflibercept
Agent	NO-FIND
Albumin-Bound Paclitaxel	Paclitaxel
Alferon	Alferon
Alimta	Pemetrexed
Alkeran	Melphalan
Almita	Pemetrexed
Almita	alimta
Aloxi	Palonosetron
Alpha Interferon	Alferon
Altima	Pemetrexed
Alvesin	Alvesin
Amatuximab (MORab-009)	Amatuximab
Amgen 706	Motesanib
Amgen 706	amg 706 amgen
Amifostine	Amifostine
Aminopterin	Aminopterin
Amitostin	Amifostine
Amitostine	Amifostine
Anastrazole	Anastrozole
Anastrozole	Anastrozole
Angiocal	Angiocal
Anti necplatens	Antineoplastons
Arimidex	Anastrozole
Arimidex (Anastrozole)	Anastrozole
Armidex	Anastrozole
Armidex	arimidex
Armour Thyroid	Desiccated thyroid
Aromasin	Exemestane
Aromasin (Exemestane)	Exemestane
Avastin	Bevacizumab
Avastin (Bevacizumab)	Bevacizumab
Avastin/bevacizumab/placebo	Bevacizumab
Axitinib	Axitinib
Axitnib	Axitinib
B12	Cyanocobalamin
BA4 43	Sorafenib
BA4 43 9006	Sorafenib
BAY-439006	Sorafenib
BAY613606	BAY613606
BCG	BCG
BCG, Intravesicular	BCG
BCNU	Carmustine
BCNU (CARMUSTINE)	Carmustine
BCNU (Carmustine)	Carmustine
BCNU (carmustine)	Carmustine
BEVACIZUMAB	Bevacizumab
BEVACIZUMAB (AVASTIN)/PLACEBO PROVIDED BY STUDY	Bevacizumab
BEVACIZUMAB AVASTIN	Bevacizumab
BEVACIZUmab	Bevacizumab
BEVACIZumab	Bevacizumab
BEVACOZIMAB	Bevacizumab
BEXAROTENE	Bexarotene
BI2536	BI2536
BIBW 2992	Afatinib
BIBW2992	Afatinib
BICALUTAMIDE	Bicalutamide
BID1870	BID1870
BIRB0796	BIRB0796
BISPHOPHONATE (ZOLEDRONIC ACID)	zoledronate
BLEOMYCIN	Bleomycin
BMS509744	BMS509744
BMS536924	BMS536924
BMS754807	BMS754807
BORTEZOMIB	Bortezomib
BOSUTINIB	Bosutinib
BRAF inhibitor	Vemurafenib
BROMO DEOXYURIDINE	Bromodeoxyuridine
BRYOSTATIN1	Bryostatin 1
BS1 201	Iniparib
BS1-201	Iniparib
BS1-201	Iniparib
BSI-201	Iniparib
BX795	BX795
BX796	NO-FIND
Bacillus Calmette-Guerin (BCG)	BCG
Bay-439006	Sorafenib
Belinostat	Belinostat
Benzylguanine	O6-Benzylguanine
Bevacizamab	bevacizumab
Bevacizamab/Placebo	Bevacizumab
Bevacizumab	Bevacizumab
Bevacizumab or Placebo	Bevacizumab
Bevacizumab or placebo	Bevacizumab
Bevacizumab vs Placebo	Bevacizumab
Bevacizumiab/ versus Placebo	Bevacizumab
Bevacozimab	bevacizumab
Bevcizumab	bevacizumab
Bicalutamid	Bicalutamide
Bicalutamide	Bicalutamide
Bleomycin	Bleomycin
Bortezomib	Bortezomib
Brivanib	Brivanib
Bromo deoxyuridine	Bromodeoxyuridine
C1 FOLFIRI/Zaltrap	Leucovorin+Fluorouracil+Irinotecan+Aflibercept
CAI NABIT 9712	CAI NABIT 9712
CALCIUM FOLIATUM	Calcium Folate
CALCIUM FOLIATUM 420MG	Calcium Folate
CAMPTOSAR	Irinotecan
CAMPTOTHECIN	Camptothecin
CAPECETABINE	Capecitabine
CAPECITABIN	Capecitabine
CAPECITABINE	Capecitabine
CARBO	Carboplatin
CARBOBPLATIN	Carboplatin
CARBOPALTIN	Carboplatin
CARBOPLASTIN	Carboplatin
CARBOPLATIN	Carboplatin
CARBOPLATIN #1	Carboplatin
CARBOPLATIN & PACLITAXEL	CARBOPLATIN & PACLITAXEL
CARBOPLATIN 6TH	Carboplatin
CARBOPLATINUM	Carboplatin
CARBOXY AMIDO TRIAZOLE	Carboxyamidotriazole
CARBOplatin	Carboplatin
CARBPLATIN	Carboplatin
CARMUSTIN	Carmustine
CARMUSTINE	Carmustine
CARMUSTINE (BCNU)	Carmustine
CARMUSTINE BCNU	Carmustine
CASODEX	Bicalutamide
CATUMAXUMAB	Catumaxomab
CAV Trial	Cyclophosphamide+Dactinomycin+Vincristine
CBP501	CBP501
CCDP	Cisplatin
CCNG	CCNG
CCNU	CCNU
CCNU	Lomustine
CCNu	Lomustine
CDDP	Cisplatin
CDR0000654697	NOS
CELBREX	Celecoxib
CELEBREX	Celecoxib
CEP 11981	CEP -11981
CEP 11981	CEP11981
CEP701	Lestaurtinib
CEPECITABINE	CAPECITABINE
CETUXIMAB	Cetuximab
CETUXIMEB	Cetuximab
CETUXimab	Cetuximab
CGP082996	CGP082996
CGP60474	CGP60474
CH81C6	CH81C6
CHIR99021	CHIR99021
CHLORAMBUCIL	Chlorambucil
CHLOROQUINE	Chloroquine
CHOP	Cyclophosphamide+Doxorubicin+Vincristine+Prednisone
CI 980	CI-980
CI-980	CI-980
CI1040	CI-1040
CI980	CI-980
CILENAITIDE	Cilengitide
CILENGITIDE	Cilengitide
CIPLASTIN	Cisplatin
CIS RETINOIC ACID	Cis Retinoic Acid
CIS Retinoic Acid	Isotretinoin
CIS-RETINOIC ACID	Cis Retinoic Acid
CISPLASTIN	Cisplatin
CISPLATAIN	Cisplatin
CISPLATIN	Cisplatin
CISPLATIN #2-7	Cisplatin
CISPLATIN/GEMZAR	CISPLATIN/GEMZAR
CISPLATINUM	Cisplatin
CISPLATINUM 120MG	Cisplatin
CISTPLATIN	Cisplatin
CISplatinum	Cisplatin
CLODRONATE	Clodronic acid
CLODRONIC ACID	Clodronic acid
CLORETAZINE	Cloretazine
CMK	KIN001-128
COPOLANG CAPS	Cyclophosphamide+Polysaccharide-K
CPT 11	Irinotecan
CPT-11	Irinotecan
CPT11	Irinotecan
CPT11	cpt 11
CRA	Isotretinoin
CT2103 TAXANE ANALOG	CT-2103
CT2103 Taxane Analog	Paclitaxel
CVAD	Cyclophosphamide+Vincristine+Doxorubicin+Dexamethasone
CYC-116/Cyclocel	Cyclophosphamide+CYC116
CYCLOPAMINE	Cyclopamine
CYCLOPHASPHAMIDE	Cyclophosphamide
CYCLOPHOSPAMIDE	Cyclophosphamide
CYCLOPHOSPHAMID+METOTREKSAT+  FLUOROURACIL	Cyclophosphamide+Methotrexate+Fluorouracil
CYCLOPHOSPHAMIDE	Cyclophosphamide
CYOTXAN	Cyclophosphamide
CYTARABINE	Cytarabine
CYTOXAN	Cyclophosphamide
CYTOXAN AND TAXOTERE	Cyclophosphamide+Docetaxel
CYTOXEN	Cyclophosphamide
CYTOXIN	Cyclophosphamide
Cabazitaxel	Cabazitaxel
Calcium Foliatum	Leucovorin
Calcium Foliatum, fluorouracilum, oxaliplatinum, dexamethassone	Leucovorin+Oxaliplatin+Fluorouracil+Dexamethasone
Camptosar	Irinotecan
Cancer Vax	Polyvalent Melanoma Vaccine
Capecetabine	Capecitabine
Capecetabine	capecitabine
Capecitabin	Capecitabine
Capecitabine	Capecitabine
Capecitabine -xeloda	Capecitabine
Capecytabinum	Capecitabine
Carbo	Carboplatin
CarboPlatinum	Carboplatin
Carbobplatin	Carboplatin
Carboplatin	Carboplatin
Carboplatin #1	Carboplatin
Carboplatin & Paclitaxel	Carboplatin
Carboplatin 5 AUC	Carboplatin
Carboplatin 6th	Carboplatin
Carboplatin Paclitaxel	Carboplatin+Paclitaxel
Carboplatin and Paclitaxel	Carboplatin+Paclitaxel
Carboplatin, Taxol	Carboplatin+Paclitaxel
Carboplatin/Paclitaxel	Carboplatin+Paclitaxel
Carboplatin/Paclitaxel/Bevacizumab	Carboplatin+Paclitaxel+Bevacizumab
Carboplatin_Paclitaxel	Carboplatin+Paclitaxel
Carboplatinum	Carboplatin
Carbplatin	Carboplatin
Carbplatin	carboplatin
Carmustin	Carmustine
Carmustine	Carmustine
Carmustine (BCNU)	Carmustine
Carmustine BCNU	Carmustine
Casodex	Bicalutamide
Catumaxumab	Catumaxomab
Catumaxumab	catumaxomab
Cedicanib	Cediranib
Cediranib	Cediranib
Cediranib Placebo	Cediranib
CeeNU	Lomustine
Celbrex	celebrex
Celebrex	Celecoxib
Cepecitabine	Capecitabine
Cepecitabine	capecitabine
Cetuximab	Cetuximab
Cetuximab Study drug	Cetuximab
Chemo	NO-FIND
Chemo Multi	NO-FIND
Chemo NOS	NO-FIND
Chemo, Multi-Agent, NOS	NOS
Chemo, NOS	NO-FIND
Chemo, NOS	NOS
Chlorambucil	Chlorambucil
Ciclosporin	Cyclosporine
Cilenaitide	Cilengitide
Cilengitide	Cilengitide
Cilengtide	Cilengitide
Ciplastin	Cisplatin
Ciplastin	cisplatin
Cis Retinoic Acid	Isotretinoin
Cisplatain	cisplatin
Cisplatin	Cisplatin
Cisplatin #2-7	Cisplatin
Cisplatin, pemetrexed	Cisplatin+Pemetrexed
Cisplatin-xrt	Cisplatin
Cisplatin/Etoposide	Cisplatin+Etoposide
Cisplatin/Gemzar	Cisplatin+Gemcitabine
Cisplatinum	Cisplatin
Cisplatnin	Cisplatin
Clinical Trial	NOS
Clinical Trial-Study Agent	NOS
Clinical trial	NOS
Clodronate	Clodronate
Cloretazine	Laromustine
Copolang	Cyclophosphamide+Polysaccharide-K
Cyclophasphamide	Cyclophosphamide
Cyclophasphamide	cyclophosphamide
Cyclophospamide	Cyclophosphamide
Cyclophospamide	cyclophosphamide
Cyclophosphamide	Cyclophosphamide
Cyclophosphane	Cyclophosphamide
Cyotxan	Cyclophosphamide
Cyotxan	cytoxan
Cytomel	Liothyronine
Cytoxan	Cyclophosphamide
Cytoxan and Taxotere	Cyclophosphamide+Docetaxel
Cytoxan, vincristine and dacarbazine	Cyclophosphamide+Vincristine+Dacarbazine
Cytoxen	Cyclophosphamide
Cytoxen	cytoxan
Cytoxin	Cyclophosphamide
DACLIZUMAB	Daclizumab
DASATINIB	Dasatinib
DECODRON	Dexamethasone
DEXAETHASONE	Dexamethasone
DEXAMETHASOME	Dexamethasone
DEXAMETHASONE	Dexamethasone
DEXAMETHASSONE	Dexamethasone
DEXAMETHAZONE	Dexamethasone
DEXAMETHSONE	Dexamethasone
DEXAMTHASONE	Dexamethasone
DEXMETHASONE	Dexamethasone
DMOG	Dimethyloxaloylglycine
DOCETAXEL	Docetaxel
DOCETOXEL/TAXOTERE	Docetaxel
DOXETAXEL	Docetaxel
DOXIL	Doxorubicin
DOXORIBICIN	Doxorubicin
DOXORUBICIN	Doxorubicin
DOXORUBICIN HCI LIIPOSOMAL	Doxorubicin
DOXORUBICIN HCI LIPSOME	Doxorubicin
DOXORUBICIN HCL	Doxorubicin
DOXORUBICIN HCL LIPOSOMAL	Doxorubicin
DOXORUBICIN HCL LIPOSOMAL -DOXIL	Doxorubicin
DOXORUBICIN+CYCLOPHOSPHAMID	Cyclophosphamide+Doxorubicin
DOXORUBICINE CYCLOPHOSPHAMIDE (ENDOXAN ADVIBLASTIN)	Cyclophosphamide+Doxorubicin
DOXORUBINCIN	Doxorubicin
DOXORUBINCIN HCL	Doxorubicin
DS-8273a	DS-8273a
DTIC	Dacarbazine
DTIC, Dacarbazine	Dacarbazine
Dabrafenib	Dabrafenib
Dacabarzine	Dacarbazine
Dacarbazine	Dacarbazine
Dacarbazine (DTIC)	Dacarbazine
Dasatinib	Dasatinib
Decodron	Dexamethasone
Decodron	decadron
Denosumab	Denosumab
Dexaethasone	dexamethasone
Dexamethasome	dexamethasone
Dexamethasone	Dexamethasone
Dexamethasone phosphate	Dexamethasone
Dexamethsone	dexamethasone
Dexamthasone	dexamethasone
Dexmethasone	dexamethasone
Didox	Didox
Diphencyprone	Diphencyprone
Docetaxel	Docetaxel
Docetaxel +/- Zactima	Docetaxel+Vandetanib
Docetaxelum	Docetaxel
Docetoxel/Taxotere	Docetaxel
Docorubicin	doxorubicin
Doxetaxel	Docetaxel
Doxetaxel	docetaxel
Doxetaxol	Docetaxel
Doxetaxol	docetaxel
Doxifluridin	Doxifluridine
Doxifluridine	Doxifluridine
Doxil	Doxorubicin
Doxil & Carboplatin	Doxorubicin+Carboplatin
Doxirubicin	Doxorubicin
Doxobubicin	Doxorubicin
Doxorubican	doxorubicin
Doxorubicin	Doxorubicin
Doxorubicin HCI Liiposomal	Doxorubicin
Doxorubicin HCI Lipsome	Doxorubicin
Doxorubicin HCL	Doxorubicin
Doxorubicin HCL Liposomal	Doxorubicin
Doxorubicin HCL Liposomal -Doxil	Doxorubicin
Doxorubicin HCl Liposomal	Doxorubicin
Doxorubicin Liposome	Doxorubicin
Doxorubicinum	Doxorubicin
Doxorubincin	doxorubicin
Doxorubincin HCL	Doxorubicin
E-75	Nelipepimut-S
ELESCLOMOL	Elesclomol
EMBELIN	embelin
EMD	NOS
EMD 121974	Cilengitide
ENZASTAURIN	Enzastaurin
EPIRUBICIN	Epirubicin
EPIRUBICINUM 70MG	Epirubicin
EPOCH	Etoposide+Prednisone+Vincristine+Doxorubicin
EPOTHILONEB	epothilone
ERBITUX	Cetuximab
ERLOTINIB	Erlotonib
ERLOTONIB	Erlotonib
ESTRAMUSTINE	Estramustine
ET-743	Trabectedin
ETC Posidum	Etoposide
ETOPOSDIE	Etoposide
ETOPOSIDE	Etoposide
ETOPOSIDE (VP16)	Etoposide
ETOPSIDE	Etoposide
EVEROLIMUS	Everolimus
EVERolimus	Everolimus
EXEMESTANE	Exemestane
EXEMESTANE (AROMASIN)	Exemestane
EZN-2968	EZN-2968
Eligard	Leuprolide
Eloxatin	Oxaliplatin
Eloxatin(oxaliplatin)	Oxaliplatin
Enoticumab	REGN421
Epirubicin	Epirubicin
Epirubicoin	Epirubicin
Erbitux	Cetuximab
Eribulin	Eribulin
Erlotinib	Erlotinib
Erlotonib	Erlotinib
Erlotonib	erlotinib
Erythropoietin	Epoetin
Etoposid	Etoposide
Etoposide	Etoposide
Etoposide (VP16)	Etoposide
Etoposide phosphate	Etoposide
Etopside	Etoposide
Everolimus	Everolimus
Everolimus, Gemcitabine, and Cisplatin	Everolimus+Gemcitabine+Cisplatin
Exemestane	Exemestane
FARESTON	Toremifene
FASLODEX	Fulvestrant
FEMARA	Letrozole
FEMARA (LETROZOLE)	Letrozole
FENRETINIDE	Fenretinide
FH535	FH535
FILGRASTIM (G-CSF)	Filgrastim
FLC	NOS
FLOURORACIL	Fluorouracil
FLOUROURACIL	Fluorouracil
FLOUROURACIL	fluorouracil
FLOXURIDINE	Floxuridine
FLUOROURACIL	Fluorouracil
FLUOROURACILUM	Fluorouracil
FLUOROURACILUM 2100MG	Fluorouracil
FOLFIRI	Leucovorin+Fluorouracil+Irinotecan
FOLFIRI/Avastin	Leucovorin+Fluorouracil+Irinotecan+Bevacizumab
FOLFOX	Leucovorin+Fluorouracil+Oxaliplatin
FOLINIC ACID	Leucovorin
FOTEMUSTINA	Fotemustine
FOTEMUSTINE	Fotemustine
FT	Ftorafur
FTI277	FTI-277
FU7	NOS
FUDR (FLOXURIDINE)	Floxuridine
FUDR (Floxuridine)	Floxuridine
FULUESTRANT	Fulvestrant
FULVESTRANT	Fulvestrant
FULVESTRANT (FASLODEX)	Fulvestrant
Fareston	Toremifene
Faslodex	Fulvestrant
Femara	Letrozole
Femara (Letrozole)	Letrozole
Filgrastim (G-CSF)	Filgrastim
Firmagon	Degarelix
Flourouracil	fluorouracil
Floxuridine	Fluorouracil
Fluorouracil	Fluorouracil
Fluorouracil (5-FU)	Fluorouracil
Fluorouracil IV Continuous infusion over 46 hours	Fluorouracil
Fluorouracilum	Fluorouracil
Fluoruoracil	fluorouracil
Fluoruracil	Fluorouracil
FolFox	Leucovorin+Fluorouracil+Oxaliplatin
Folfiri	Leucovorin+Fluorouracil+Irinotecan
Folfox	Leucovorin+Fluorouracil+Oxaliplatin
Folinic Acid	Leucovorin
Folinic acid	Leucovorin
Fotemustine	Fotemustine
Fuluestrant	Fulvestrant
Fuluestrant	fulvestrant
Fulvestrant	Fulvestrant
Fulvestrant (Faslodex)	Fulvestrant
GAMINOCAMPTOTHECIN	aminocamptothecin
GAMZAR	Gemcitabine
GDC-0980	GDC-0980
GDC0449	Vismodegib
GDC0941	GDC-0941
GEFITINIB	Gefitinib
GEMAR	Gemcitabine
GEMCITABIN	Gemcitabine
GEMCITABINE	Gemcitabine
GEMCITABINE HCI	Gemcitabine
GEMCITABINE HCL	Gemcitabine
GEMCITABINE/CISPLATIN	Gemcitabine+Cisplatin
GEMCITIBANE	Gemcitabine
GEMCITIBINE	Gemcitabine
GEMICITABINE	Gemcitabine
GEMICTIABINE	Gemcitabine
GEMZAN	Gemcitabine
GEMZAR	Gemcitabine
GEMZAR (GEMCITABINE)	Gemcitabine
GEMZET	Gemcitabine
GEZMAR	Gemcitabine
GL-ONC1	GL-ONC1
GLEEVAC	Imatinib
GLEEVEC	Imatinib
GLIADEL	Carmustine implant
GLIADEL BCNU	Carmustine implant
GLIADEL WAFER	Carmustine implant
GLIADEL WAFER (BCNU)	Carmustine implant
GLIADEL WAFER CARMUSTINE	Carmustine implant
GLIADEL WAFERS	Carmustine implant
GLIADEL WATERS	Carmustine implant
GLIADLE WAFER	Carmustine implant
GM-CSF	Sargramostim
GOG 218	GOG 218
GOG182	GOG 182
GOMZAR	Gemcitabine
GOSERELIN	GOSERELIN
GP-100	GP100
GP100	GP100
GSK Braf Inhibitor	Dabrafenib
GSK269962A	GSK269962A
GSK650394	GSK650394
GW441756	GW441756
GW843682X	GW843682X
Gadoinium	gadolinium
Gaminocamptothecin	Aminocamptothecin
Gamzar	Gemcitabine
Gamzar	gemzar
Gefitinib	gefitinib
Gemar	Gemcitabine
Gemcitabine	Gemcitabine
Gemcitabine (Gemzar)	Gemcitabine
Gemcitabine HCI	Gemcitabine
Gemcitabine HCL	Gemcitabine
Gemcitabine Injection	Gemcitabine
Gemcitabine and Cisplatin	Gemcitabine+Cisplatin
Gemcitibane	Gemcitabine
Gemcitibane	gemcitabine
Gemcitibine	Gemcitabine
Gemicitabine	Gemcitabine
Gemicitabine	gemcitabine
Gemox	Gemcitabine+Oxaliplatin
Gemzan	Gemcitabine
Gemzan	gemzar
Gemzar	Gemcitabine
Gemzar (Gemcitabine)	Gemcitabine
Gemzet	Gemcitabine
Genentech	NO-FIND
Genentech Cpd	NO-FIND
Genentech Cpd 10	NO-FIND
Gezmar	Gemcitabine
Gleevec	Imatinib
Gliadel	Carmustine
Gliadel Wafer	Carmustine
Gliadel Wafers	Carmustine
Gliadel wafers	Carmustine
Gomzar	Gemcitabine
Goserelin	Goserelin
HEC.1 - Sorafenib vs Sorafenib plus Doxorubicin	HEC.1
HERCEPTIN	Trastuzumab
HERCPTIN	Trastuzumab
HEXALEN	Altretamine
HEXALIN	Altretamine
HEXAMETHYLMELAMINE	Altretamine
HEXAMETHYMELAMINE	Altretamine
HEXLALEN	Altretamine
HG-5-113-01	NO-FIND
HG-5-88-01	NO-FIND
HIGH DOSE INTERLEUKIN-2	Interleukin-2
HSC vaccine injection	NOS
HYDOXYUREA	Hydroxycarbamide
HYDROCHOROQUINE	Hydroxychloroquine
HYDROXUREA	Hydroxycarbamide
HYDROXYUEREA	Hydroxycarbamide
HYDROXYUREA	Hydroxycarbamide
HYDROYUREA	Hydroxycarbamide
HYRDROXYUREA	Hydroxycarbamide
HYROXYUREA	Hydroxycarbamide
Halaven	Eribulin
Halichondrin	Halichondrin B
Halichondrin B	Halichondrin B
Herceptin	Trastuzumab
Hexalen	Altretamine
Hexalin	Altretamine
Hexamethylmelamine	Altretamine
Hexamethymelamine	Altretamine
High dose	NO-FIND
High dose Methotrexate w/ Leucovorin	Methotrexate+Leucovorin
High dose ara-c	Cytarabine
High dose ara-c	NO-FIND
Hormone, NOS	NOS
Hydoxyurea	Hydroxyurea
Hydoxyurea	hydroxyurea
Hydrochoroquine	hydroxychloroquine
Hydrocortisone	Hydrocortisone
Hydroxurea	hydroxyurea
Hydroxydaunomycin	Doxorubicin
Hydroxyuerea	hydroxyurea
Hydroxyurea	Hydroxyurea
Hydroyurea	Hydroxyurea
Hydroyurea	hydroxyurea
Hyrdroxyurea	hydroxyurea
Hyroxyurea	hydroxyurea
I 131 81C6	81C6
I-131	Iodine-131
I131-81C6	81C6
ICE	Ifosfamide+Carboplatin+Etoposide
ICT 107	NO-FIND
ICT-107	ICT-107
ICT-107	NO-FIND
IFN-ALPHA (INTRON)	Hydroxycarbamide
IFN-Alpha (Intron)	Interferon A
IFOSFAMIDE	Ifosfamide
IFOSTAMIDE	Ifosfamide
IL 12	INTERLEUKIN-12
IL 12	Interleukin-12
IL 12	NO-FIND
IL 13	INTERLEUKIN-13
IL 13	NO-FIND
IL 13PE	NO-FIND
IL 2	Aldesleukin
IL 2	INTERLEUKIN-2
IL-13 PSEUDOMONAS EXOTOXIN	IL-13 WITH PSEUDOMONAS EXOTOXIN
IL-13 WITH PSEUDOMONAS EXOTOXIN	IL-13 WITH PSEUDOMONAS EXOTOXIN
IL-13-PE38QQR CYTOXIN	IL-13 WITH PSEUDOMONAS EXOTOXIN
IL-13PE	Cintredekin
IL-13PE	IL-13 WITH PSEUDOMONAS EXOTOXIN
IL-18	Interleukin-18
IL-2	Aldesleukin
IL-2	INTERLEUKIN-2
IL-2 (HIGH DOSE)	INTERLEUKIN-2
IL-2 (high dose)	Aldesleukin
IL-2 THEARPY (INTERLEUKIN)	INTERLEUKIN-2
IL-2 Therapy (interleukin)	Aldesleukin
IL2	Aldesleukin
IMATINIB	Imatinib
IMC-A12	Cixutumumab
INF	Infliximab
INTERFERON	INTERFERON
INTERFERON ALPHA	INTERFERON ALPHA
INTERFERON GAMMA	INTERFERON GAMMA
INTERFERON-ALPHA	INTERFERON ALPHA
INTERLEUKIN 2-HIGH DOSE	INTERLEUKIN-2
INTERLEUKIN-12	INTERLEUKIN-12
INTERLEUKIN-2	INTERLEUKIN-2
INVESTIGAL DRUG AVASTIN	Bevacizumab
IPILIMUMAB	Ipilimumab
IRESSA	Gefitinib
IRESSA PLACEBO VS. DRUG	Gefitinib
IRESSA placebo vs. drug	Gefitinib
IRINOTEACAN	Irinotecan
IRINOTECAN	Irinotecan
IRINOTECAN HCL	Irinotecan
IRINOTECAN+5-fluorouracilim	Irinotecan+Fluorouracil
IRINOtecan HCl	Irinotecan
IRINTOTECAN	Irinotecan
IROLFLUVIN	Irolfluvin
IRONOTECAN	Irinotecan
IRRESSA	Gefitinib
IRUNOTECAN	Irinotecan
ISOTRECTINOIN (ACCCUTANE)	Isotretinoin
ISOTRETINOIN	Isotretinoin
IXABEPILONE	Ixabepilone
Ibandronate	Ibandronate
Ifex	Ifosfamide
Ifosfamid	Ifosfamide
Ifosfamide	Ifosfamide
Ifostamide	Ifosfamide
Ifostamide	ifosfamide
Imatinib	Imatinib
Imiquimod	Imiquimod
Infusion	NO-FIND
Inhibitor	NO-FIND
Interferon	NOS
Interferon Alpha	Interferon A
Interferon alfa	Interferon A
Interferon alfa-2b	Interferon A
Interferon alpha	Interferon A
Interferon gamma	Interferon G
Interferon-?2	Aldesleukin
Interferon-alfa	Interferon A
