isobutyramide	CHEMBL352219
cilostamide	CHEMBL34431
cabazitaxel	CHEMBL1201748
3-bromo-7-nitroindazole	CHEMBL479014
PHA-665752	CHEMBL450786
CHF5074	CHEMBL196945
co-102862	CHEMBL287833
SKA-31	CHEMBL1709719
D-4476	CHEMBL410456
inosine	CHEMBL1556
entrectinib	CHEMBL1983268
tanespimycin	CHEMBL109480
dienogest	CHEMBL1201864
ecabet	CHEMBL2104585
SGI-1776	CHEMBL1952329
AMG-837	CHEMBL1829173
procainamide	CHEMBL640
balicatib	CHEMBL371064
TAK-901	CHEMBL3544932
diosgenin	CHEMBL412437
omarigliptin	CHEMBL2105762
riociguat	CHEMBL2107834
bekanamycin	CHEMBL176
SB-206553	CHEMBL297784
selexipag	CHEMBL238804
dorzolamide	CHEMBL218490
apalutamide	CHEMBL3183409
LY2157299	CHEMBL2364611
vesamicol	CHEMBL20730
JTC-801	CHEMBL140979
LY456236	CHEMBL254575
dasabuvir	CHEMBL3137312
hydroflumethiazide	CHEMBL1763
LY411575	CHEMBL392068
pimecrolimus	CHEMBL1200686
SN-38	CHEMBL837
EO-1428	CHEMBL347496
linagliptin	CHEMBL237500
vorinostat	CHEMBL98
acetylsalicylsalicylic-acid	CHEMBL350343
WZ-3146	CHEMBL1643976
clobenpropit	CHEMBL14690
efaproxiral	CHEMBL18901
cintriamide	CHEMBL2107098
tepoxalin	CHEMBL316040
coumophos	CHEMBL251680
JNJ-40411813	CHEMBL3337527
flumequine	CHEMBL370252
NVP-BHG712	CHEMBL3752910
venetoclax	CHEMBL3137309
cabozantinib	CHEMBL2105717
deslanoside	CHEMBL1614
algestone-acetophenide	CHEMBL2105993
algestone-acetophenide	CHEMBL3989742
1-deoxymannojirimycin	CHEMBL84844
dimaprit	CHEMBL12344
lofexidine	CHEMBL17860
chloroxylenol	CHEMBL398440
methylprednisolone	CHEMBL650
desmopressin-acetate	CHEMBL1200556
lucitanib	CHEMBL2220486
ripasudil	CHEMBL3426621
vincristine	CHEMBL90555
targinine	CHEMBL256147
clebopride	CHEMBL325109
sodium-tetradecyl-sulfate	CHEMBL1200354
alclometasone-dipropionate	CHEMBL1200989
EGF816	CHEMBL3787344
arbidol	CHEMBL1214598
dimercaprol	CHEMBL1597
metronidazole	CHEMBL137
cridanimod	CHEMBL1569545
difenpiramide	CHEMBL1489662
2,3-DCPE	CHEMBL1356094
ZD-7114	CHEMBL1788312
eperisone	CHEMBL1902981
methiazole	CHEMBL1354363
Ro-4987655	CHEMBL1614766
DMeOB	CHEMBL3334989
talampanel	CHEMBL61872
erdosteine	CHEMBL1697744
noretynodrel	CHEMBL1387
GSK2816126	CHEMBL3287735
stavudine	CHEMBL991
riboflavin	CHEMBL1534
carbimazole	CHEMBL508102
chlorpyrifos	CHEMBL463210
tacrolimus	CHEMBL269732
apraclonidine	CHEMBL647
ciprofloxacin	CHEMBL8
dabigatran-etexilate	CHEMBL539697
indoprofen	CHEMBL15870
methicillin	CHEMBL575
afalanine	CHEMBL134570
topotecan	CHEMBL84
isbufylline	CHEMBL1453416
teneligliptin	CHEMBL2147777
dexfenfluramine	CHEMBL248702
polythiazide	CHEMBL1587
amifampridine	CHEMBL354077
secoisolariciresinol-diglucoside	CHEMBL2425486
ethotoin	CHEMBL1095
liothyronine	CHEMBL1544
cordycepin	CHEMBL305686
icosapent	CHEMBL460026
terbinafine	CHEMBL822
SD-208	CHEMBL238125
DNQX	CHEMBL155265
chlorphenamine	CHEMBL505
tricaprylin	CHEMBL1406148
hydroxyprogesterone	CHEMBL1062
idronoxil	CHEMBL1957038
bumetanide	CHEMBL1072
FGIN-1-27	CHEMBL63154
exifone	CHEMBL329522
gadodiamide	CHEMBL1200346
anpirtoline	CHEMBL1316374
MK-1775	CHEMBL1976040
vonoprazan	CHEMBL2079130
phenserine	CHEMBL74926
armodafinil	CHEMBL1201192
tirofiban	CHEMBL916
GR-79236	CHEMBL2163568
pevonedistat	CHEMBL1231160
tenoxicam	CHEMBL302795
benserazide	CHEMBL1096979
VX-765	CHEMBL2107819
sulfametopyrazine	CHEMBL1525826
zaleplon	CHEMBL1521
igmesine	CHEMBL2110660
pirenoxine	CHEMBL1372341
cytisine	CHEMBL497939
dianhydrogalactitol	CHEMBL3137322
Ro-9187	CHEMBL513181
tiratricol	CHEMBL41632
cinchonidine	CHEMBL533841
orteronel	CHEMBL1921976
RITA	CHEMBL1555354
TPPS4	CHEMBL221265
clonidine	CHEMBL134
buflomedil	CHEMBL188921
VS-4718	CHEMBL3544933
geniposide	CHEMBL462894
VX-702	CHEMBL1090090
pralidoxime-chloride	CHEMBL748
nicardipine	CHEMBL1484
verapamil	CHEMBL6966
apratastat	CHEMBL206815
CV-1808	CHEMBL1256672
lomitapide	CHEMBL354541
AZD5363	CHEMBL2325741
narlaprevir	CHEMBL1255891
norethisterone-enanthate	CHEMBL3187229
napabucasin	CHEMBL64130
resveratrol	CHEMBL165
oxyphencyclimine	CHEMBL1495
ZAPA	CHEMBL20562
thiamine	CHEMBL1547
MK-0812	CHEMBL4297538
bupivacaine	CHEMBL1098
oxacillin	CHEMBL819
norelgestromin	CHEMBL1200807
ryuvidine	CHEMBL290904
sipatrigine	CHEMBL28854
L-655,708	CHEMBL52030
dexpanthenol	CHEMBL1200979
clarithromycin	CHEMBL1741
ethamivan	CHEMBL1229908
ondansetron	CHEMBL46
latanoprost	CHEMBL1051
goserelin-acetate	CHEMBL1200501
GBR-13069	CHEMBL112280
R-59022	CHEMBL259388
A66	CHEMBL3218581
nabumetone	CHEMBL1070
nefiracetam	CHEMBL260829
didanosine	CHEMBL1460
buparvaquone	CHEMBL292009
tacedinaline	CHEMBL235191
BX-912	CHEMBL3916849
toloxatone	CHEMBL18116
CH223191	CHEMBL1743245
RTA-408	CHEMBL4303525
LY364947	CHEMBL261454
2-iminobiotin	CHEMBL1233598
evacetrapib	CHEMBL2017179
homoquinolinic-acid	CHEMBL280828
ditiocarb-sodium-trihydrate	CHEMBL3185333
iodoantipyrine	CHEMBL24132
ozolinone	CHEMBL3989840
CL-218872	CHEMBL13662
filgotinib	CHEMBL3301607
buphenine	CHEMBL114655
ginkgolide-b	CHEMBL514432
dasatinib	CHEMBL1421
amlexanox	CHEMBL1096
estramustine-phosphate	CHEMBL1756
pifithrin-mu	CHEMBL1241268
S18986	CHEMBL320642
menadione	CHEMBL590
WAY-170523	CHEMBL327002
amisulpride	CHEMBL243712
RS-100329	CHEMBL56331
UNC0224	CHEMBL576781
bafetinib	CHEMBL206834
GS-9620	CHEMBL2424780
TMC647055	CHEMBL2043025
mepenzolate	CHEMBL524004
clomethiazole	CHEMBL315795
malotilate	CHEMBL1697754
citicoline	CHEMBL1231700
citicoline	CHEMBL1618340
isobutamben	CHEMBL1985617
AVN-944	CHEMBL3349001
ME0328	CHEMBL3092537
diminazene-aceturate	CHEMBL124025
medica-16	CHEMBL63829
kenpaullone	CHEMBL296586
danirixin	CHEMBL3039531
nortriptyline	CHEMBL445
ketoprofen	CHEMBL571
WAY-200070	CHEMBL188528
clioquinol	CHEMBL497
mocetinostat	CHEMBL272980
bromfenac	CHEMBL1077
febuxostat	CHEMBL1164729
PF-3845	CHEMBL1651524
doramapimod	CHEMBL103667
irosustat	CHEMBL286738
ribociclib	CHEMBL3545110
parbendazole	CHEMBL528271
buclizine	CHEMBL1201271
deoxyepinephrine	CHEMBL31088
diphemanil	CHEMBL1201340
hymecromone	CHEMBL12208
delapril	CHEMBL589583
fesoterodine	CHEMBL1201764
AZ960	CHEMBL1774055
1,12-Besm	CHEMBL18794
fluconazole	CHEMBL106
tridihexethyl	CHEMBL1201354
GBR-12783	CHEMBL1612198
sulfacetamide	CHEMBL455
gadobutrol	CHEMBL2218860
quinidine	CHEMBL21578
quinidine	CHEMBL1294
otenzepad	CHEMBL17045
pralidoxime	CHEMBL1420
alfacalcidol	CHEMBL1601669
isoxsuprine	CHEMBL1197051
PF-5274857	CHEMBL3186656
U-104	CHEMBL1615281
pirenperone	CHEMBL18331
midafotel	CHEMBL90564
cisplatin	CHEMBL2068237
ripazepam	CHEMBL159298
cefadroxil	CHEMBL1644
chlorindanol	CHEMBL1449249
paliperidone	CHEMBL1621
dantron	CHEMBL53418
AP1903	CHEMBL269259
adrenalone	CHEMBL2103996
vismodegib	CHEMBL473417
PD-184352	CHEMBL105442
clorgiline	CHEMBL8706
radezolid	CHEMBL455461
PD-160170	CHEMBL422942
diethylcarbamazine	CHEMBL48977
diethylcarbamazine	CHEMBL684
aklomide	CHEMBL1450565
naltrindole	CHEMBL567175
nesbuvir	CHEMBL1092581
pheniramine	CHEMBL1193
vinblastine	CHEMBL159
promazine	CHEMBL564
schisandrol-b	CHEMBL1834755
betaxolol	CHEMBL423
maribavir	CHEMBL515408
lapatinib	CHEMBL554
valsartan	CHEMBL1069
minocycline	CHEMBL1434
INC-280	CHEMBL3188267
ibuprofen	CHEMBL521
oligomycin-a	CHEMBL1256136
sertaconazole	CHEMBL1201196
FLI-06	CHEMBL3604460
ketoconazole	CHEMBL157101
pyrazinoylguanidine	CHEMBL1962516
BMS-754807	CHEMBL575448
DFB	CHEMBL371811
DFB	CHEMBL1593191
estropipate	CHEMBL1200980
acesulfame-potassium	CHEMBL1351474
roscovitine	CHEMBL14762
tiprenolol	CHEMBL2111163
bifonazole	CHEMBL277535
CGK-733	CHEMBL1221601
AZD1446	CHEMBL2179529
desoximetasone	CHEMBL1766
rosuvastatin	CHEMBL1496
erteberel	CHEMBL278703
mirtazapine	CHEMBL654
elafibranor	CHEMBL3707395
chlorocresol	CHEMBL1230222
isoetharine	CHEMBL1201213
o-3M3FBS	CHEMBL1443163
hesperidin	CHEMBL449317
procyclidine	CHEMBL86715
zileuton	CHEMBL93
linsidomine	CHEMBL1189150
darunavir	CHEMBL1323
CZC24832	CHEMBL2064571
TMS	CHEMBL46909
arctigenin	CHEMBL435734
romidepsin	CHEMBL343448
Z160	CHEMBL604710
MBX-2982	CHEMBL3260505
eptifibatide	CHEMBL1174
AMG-9810	CHEMBL195789
amcinonide	CHEMBL1200732
BAN-ORL-24	CHEMBL201945
PMPA	CHEMBL1538
PMPA	CHEMBL483
pinocembrin	CHEMBL399910
bopindolol	CHEMBL357995
sulfamethoxazole	CHEMBL443
ipriflavone	CHEMBL165790
ozagrel	CHEMBL11662
XAV-939	CHEMBL1086580
GNF-2	CHEMBL483847
trichloroacetic-acid	CHEMBL14053
TGR-1202	CHEMBL3989869
theobromine	CHEMBL1114
CGP-37849	CHEMBL29811
fasudil	CHEMBL38380
SB-258585	CHEMBL60264
isradipine	CHEMBL1648
amibegron	CHEMBL1193948
dinoprost	CHEMBL815
fleroxacin	CHEMBL6273
bergapten	CHEMBL24171
2-TEDC	CHEMBL37081
guanfacine	CHEMBL862
VE-821	CHEMBL1766779
UNC669	CHEMBL1235119
flutamide	CHEMBL806
RWJ-21757	CHEMBL292008
lacitol	CHEMBL1661
metergoline	CHEMBL19215
fenofibric-acid	CHEMBL981
oxytocin	CHEMBL395429
hyoscyamine	CHEMBL1331216
trientine	CHEMBL609
I-BET-762	CHEMBL1232461
clotiapine	CHEMBL304902
GDC-0941	CHEMBL521851
balofloxacin	CHEMBL1210954
pinaverium	CHEMBL1909324
ICI-63197	CHEMBL1485629
CGP-37157	CHEMBL1495071
NECA	CHEMBL464859
MK-8033	CHEMBL2323775
GSK2190915	CHEMBL1922660
milacemide	CHEMBL75838
gramine	CHEMBL254348
glimepiride	CHEMBL1481
PF-04217903	CHEMBL2001019
ertugliflozin	CHEMBL1770248
bambuterol	CHEMBL521589
inositol-hexanicotinate	CHEMBL1094982
fluoromethylcholine	CHEMBL3707346
exemestane	CHEMBL1200374
fenobam	CHEMBL239800
cefminox	CHEMBL1276342
batimastat	CHEMBL279786
NM107	CHEMBL438605
RS-39604	CHEMBL66114
cefotiam	CHEMBL1296
lornoxicam	CHEMBL1569487
AM-251	CHEMBL285932
erythromycin-ethylsuccinate	CHEMBL1200688
cediranib	CHEMBL491473
4-HQN	CHEMBL266540
XL388	CHEMBL2333365
GSK923295	CHEMBL4303470
sobetirome	CHEMBL107400
OAC1	CHEMBL3187798
LY2608204	CHEMBL4297399
telotristat-ethyl	CHEMBL2105695
AZD2461	CHEMBL4098253
niflumic-acid	CHEMBL63323
SR-2640	CHEMBL18132
telbivudine	CHEMBL374731
nelarabine	CHEMBL1201112
carboplatin	CHEMBL1351
bakuchiol	CHEMBL262344
rimonabant	CHEMBL111
ciproxifan	CHEMBL14638
nelfinavir	CHEMBL584
triacetin	CHEMBL1489254
tie2-kinase-inhibitor	CHEMBL237352
telotristat	CHEMBL2103855
diazoxide	CHEMBL181
talarozole	CHEMBL459505
chlormadinone-acetate	CHEMBL110691
neo-gilurytmal	CHEMBL3833388
acenocoumarol	CHEMBL397420
SR-27897	CHEMBL249973
VU0155069	CHEMBL492572
LY2183240	CHEMBL509860
lomerizine	CHEMBL29188
cis-urocanic acid	CHEMBL1316726
siguazodan	CHEMBL1256712
levofloxacin	CHEMBL33
sertindole	CHEMBL12713
isoxepac	CHEMBL33211
sodium-oxybate	CHEMBL1200682
tasisulam	CHEMBL2110587
SKF-77434	CHEMBL288090
tecalcet	CHEMBL292376
pindolol	CHEMBL500
vildagliptin	CHEMBL142703
AZD1480	CHEMBL1231124
phenylbutyrate	CHEMBL1469
desoxypeganine	CHEMBL355821
AD-5467	CHEMBL164603
lerisetron	CHEMBL56900
prenylamine	CHEMBL24072
testosterone-enanthate	CHEMBL1200335
gemcadiol	CHEMBL2105082
inositol	CHEMBL1222251
candesartan-cilextil	CHEMBL1014
ethopabate	CHEMBL458769
gedunin	CHEMBL465226
terbutaline	CHEMBL1760
eugenol	CHEMBL42710
bay-w-9798	CHEMBL4303598
CNQX	CHEMBL9790
plerixafor	CHEMBL18442
VP-20629	CHEMBL207225
bimatoprost	CHEMBL1200963
grazoprevir	CHEMBL2063090
RS-79948	CHEMBL4303564
aspirin	CHEMBL25
minaprine	CHEMBL278819
amtolmetin-guacil	CHEMBL1766570
BMS-707035	CHEMBL486226
LY2228820	CHEMBL2364626
morin	CHEMBL28626
5-hydroxytryptophan	CHEMBL350221
etacrynic-acid	CHEMBL456
lorcaserin	CHEMBL360328
darglitazone	CHEMBL55624
GDC-0980	CHEMBL1922094
BRL-37344	CHEMBL284782
enasidenib	CHEMBL3989908
primaquine	CHEMBL506
SDZ-220-581	CHEMBL1331280
amfenac	CHEMBL25146
procaine	CHEMBL569
synephrine	CHEMBL33720
ruxolitinib	CHEMBL1789941
L-655240	CHEMBL362223
sasapyrine	CHEMBL154111
ractopamine	CHEMBL509336
AM-404	CHEMBL39878
anethole-trithione	CHEMBL178862
isodibut	CHEMBL403272
benperidol	CHEMBL297302
etamsylate	CHEMBL1514715
1,3-dipropyl-8-phenylxanthine	CHEMBL158507
benzoic-acid	CHEMBL541
JNJ-10191584	CHEMBL185951
cyclobenzaprine	CHEMBL669
LGX818	CHEMBL3301612
CI-844	CHEMBL1788329
methylprednisolone-aceponate	CHEMBL1697782
BI-2536	CHEMBL513909
secalciferol	CHEMBL1590076
canagliflozin	CHEMBL2048484
polydatin	CHEMBL142652
epothilone-a	CHEMBL329993
HC-030031	CHEMBL1086310
chromocarb	CHEMBL83628
cyclophosphamide	CHEMBL88
doxepin	CHEMBL1628227
atrasentan	CHEMBL9194
chlorproguanil	CHEMBL1213553
metoprolol	CHEMBL13
esmolol	CHEMBL768
megestrol-acetate	CHEMBL1201139
taurine	CHEMBL239243
