CHEMBL296468	CID3025986
PTEB	CID1019881
CHEMBL590	CID4055
CHEMBL2108557	CHEMBL2108557
CHEMBL1255648	CID2890
CHEMBL17	CID3038
CHEMBL1201464	CHEMBL1201464
CHEMBL285755	CID1219
CHEMBL510275	CID44575473
CHEMBL708	CID60854
CHEMBL2108065	CHEMBL2108065
CHEMBL3545339	CID44480399
CHEMBL979	CID4064
CHEMBL1443	CID8982
CHEMBL51	CID3822
CHEMBL1201250	CID2342
CHEMBL1201564	CHEMBL1201564
CHEMBL2105762	CID46209133
CHEMBL1336	CID216239
CHEMBL1201187	CID3002977
COMPOUND 2C [PMID: 22115617]	CID46943415
CHEMBL493	CID31101
CHEMBL190333	CID3008319
CHEMBL279597	CID5950
CHEMBL281593	CID763
CHEMBL3544988	CID91617630
CHEMBL12713	CID60149
CHEMBL344159	CID216237
CIS-3-ACPBPA	CID23399992
CHEMBL502835	CHEMBL502835
CHEMBL22242	CID54477
CHEMBL14249	CID5957
CHEMBL93747	CID204109
CHEMBL589390	CID197033
COMPOUND 31 [PMID: 24915291]	CID71519693
CHEMBL230011	CID10427712
CHEMBL279453	CID119357
CHEMBL2105738	CID11188409
CHEMBL142703	CID6918537
CHEMBL1370	CID5281004
OSTARINE	CID11326715
CHEMBL428647	CID36314
CHEMBL2108466	CHEMBL2108466
CHEMBL1201576	CHEMBL1201576
CHEMBL182	CID135398740
CHEMBL96051	CID5186
CHEMBL1201336	CID56339
CHEMBL384527	CID9872620
CHEMBL521851	CID17755052
CHEMBL178	CID30323
CHEMBL526	CID4943
CHEMBL956	CID5359
CHEMBL452	CID2802
CHEMBL3545055	CHEMBL3545055
PGD2	CID448457
CHEMBL509	CID4037
CHEMBL306380	CID1400
CHEMBL501867	CID249332
GARLIC EXTRACT	CID65036
CHEMBL2108427	CHEMBL2108427
CHEMBL88712	CID123723
CHEMBL705	CID449171
CHEMBL27885	CID6443223
CHEMBL836	CID129211
CHEMBL1201245	CID2444
CHEMBL2387080	CID51001932
CHEMBL63323	CID4488
CHEMBL1200376	CID5282492
CHEMBL3545134	CHEMBL3545134
CHEMBL294199	CID1548943
CHEMBL1200330	CID5909
CHEMBL1743082	CHEMBL1743082
CHEMBL284377	CID57689797
PD166285	CID5311382
CHEMBL290916	CID4021
CHEMBL1201774	CID135398654
CHEMBL538867	CID25027363
CHEMBL1213252	CID2809
CHEMBL2364609	CID49852367
CHEMBL1201670	CHEMBL1201670
CHEMBL88	CID2907
CHEMBL1201550	CHEMBL1201550
CHEMBL44	CID5280961
CHEMBL537	CID785
CHEMBL482968	CID16041424
CHEMBL1201668	CHEMBL1201668
CHEMBL1096882	CID30751
CHEMBL2105617	CID70691408
CHEMBL59	CID681
CHEMBL642	CID1978
CHEMBL3545135	CHEMBL3545135
CHEMBL1742986	CHEMBL1742986
CHEMBL3707311	CID122197544
CHEMBL2103884	CID25067547
CHEMBL105462	CID9919153
CHEMBL1200592	CID11876263
CHEMBL384467	CID5743
CHEMBL1201216	CID3033538
CHEMBL3545145	CHEMBL3545145
CHEMBL451887	CID11556711
BTP2	CID2455
TGN4	CID11457116
CHEMBL3544942	CID71494949
TGF	CID135566194
CHEMBL2105721	CID11633038
CHEMBL1200895	CID57417440
CHEMBL2103827	CID6989215
CHEMBL1073	CID3478
CHEMBL169736	CID44381715
CHEMBL565591	CID11296282
CHEMBL3707400	CID10192617
CHEMBL119625	CID148200
CHEMBL715	CID135398745
CHEMBL1083390	CID11256720
TCDD	CID15625
CHEMBL1697771	CID5042
CHEMBL1752	CID3182
EXAMPLE 98 [WO2011020806]	CID50991498
MECAMYLAMINE	CID4032
CHEMBL99	CID444732
CHEMBL70418	CID2789
CHEMBL71263	CID123964
CHEMBL3545206	CHEMBL3545206
JAK3 INHIBITOR II	CID3795
CHEMBL1200654	CID74764738
CHEMBL1743049	CHEMBL1743049
CHEMBL1172	CID124087
CHEMBL270190	CID51397022
CHEMBL1201733	CID46864002
CHEMBL970	CID31640
COMPOUND 1D [PMID: 21493067]	CID53232451
CHEMBL1200761	CID11289
CHEMBL1201420	CHEMBL1201420
CHEMBL1201605	CHEMBL1201605
CHEMBL21536	CID60809
CHEMBL1514	CID15130
CHEMBL140278	CID5486554
CHEMBL420806	CID10342059
CHEMBL1743053	CHEMBL1743053
CHEMBL556	CID2973
CHEMBL190	CID2153
CHEMBL1193	CID4761
CHEMBL1201237	CID39468
CHEMBL169901	CID2966
RAVOXERTINIB	CID71727581
CHEMBL1047	CID86472
CHEMBL3301612	CID50922675
CHEMBL712	CID2197
CHEMBL193	CID4485
CHEMBL1200618	CID45108248
CHEMBL1879463	CID11977753
CHEMBL121	CID77999
CHEMBL42	CID135398737
CHEMBL1488	CID6194
CHEMBL1681799	CID51003564
LIF	CID224478
CHEMBL3545324	CHEMBL3545324
CHEMBL97450	CID1797
CHEMBL1236469	CID9305
CHEMBL208427	CID9887812
CHEMBL1201827	CHEMBL1201827
CHEMBL2396661	CID56649450
CHEMBL1201729	CID219025
[3H]L-ASPARTIC ACID	CID5960
CHEMBL432038	CID9819927
CHEMBL655	CID4192
CHEMBL19612	CID1102
CHEMBL1201569	CHEMBL1201569
CHEMBL61593	CID2910
CHEMBL1201222	CID11597698
CHEMBL704	CID4075
CHEMBL1703	CID14219
CHEMBL628	CID4740
CHEMBL265012	CID5312129
VTX-11E	CID11634725
CHEMBL1351	CID10339178
CHEMBL1568698	CID6918305
CHEMBL1088	CID4078
CHEMBL599	CID54677470
CHEMBL289277	CID3220
CHEMBL1255588	CID37461
CHEMBL13828	CID4615
CHEMBL1742994	CHEMBL1742994
ARI-3099	CID71655266
CHEMBL223360	CID11485656
CHEMBL661	CID2118
CHEMBL77517	CID216468
COMPOUND 38 [PMID: 24915291]	CID71556703
CHEMBL568	CID4616
CHEMBL1908360	CID6442177
CHEMBL1201746	CID148121
CHEMBL1944698	CID16739650
CHEMBL3301610	CID46220502
CHEMBL1200571	CHEMBL1200571
CHEMBL703	CID5314
CHEMBL14376	CID71360
CHEMBL1738	CID71384
CHEMBL1111	CID6918493
GUE1654	CID5066134
CHEMBL2104967	CID9935681
CHEMBL1200617	CID5311412
CHEMBL1609891	CHEMBL1609891
CHEMBL408	CID5591
CHEMBL23588	CID3371
CHEMBL1200848	CID169870
CHEMBL375293	CID11716665
CHEMBL2103873	CID16004692
CHEMBL1431	CID4091
CHEMBL2108029	CHEMBL2108029
CHEMBL71595	CID784
CHEMBL2062264	CID44630434
CHEMBL428496	CID312145
CHEMBL572881	CID11667893
CHEMBL1643880	CID154104
CHEMBL651	CID4095
CHEMBL2109413	CHEMBL2109413
CHEMBL985	CID1176
CHEMBL2103975	CID70689318
CHEMBL38	CID444795
CHEMBL1095	CID3292
CHEMBL1272307	CID25195495
CHEMBL520733	CID9843750
CHEMBL49247	CID132787
CHEMBL136689	CID10668061
CHEMBL12	CID3016
CHEMBL73151	CID443951
CHEMBL76273	CID10500941
CHEMBL1922094	CID25254071
CHEMBL2109485	CHEMBL2109485
CHEMBL2010601	CID16220172
INSULIN	CID16131098
TC-1698	CID10130417
CHEMBL35084	CID5362417
CHEMBL1079175	CID24964624
CHEMBL1201830	CHEMBL1201830
CHEMBL7301	CID5288209
CHEMBL3833374	CHEMBL3833374
CHEMBL1743068	CHEMBL1743068
CHEMBL378544	CID5388983
CHEMBL16	CID1775
CHEMBL2108628	CHEMBL2108628
CHEMBL34259	CID126941
Apatinib	CID11315474
CHEMBL6622	CID6883
CHEMBL434	CID3779
CHEMBL3544974	CID11954293
CHEMBL1822792	CID44137946
CHEMBL282724	CID216235
CHEMBL2108658	CHEMBL2108658
CHEMBL1200485	CID406563
CHEMBL1466483	CID3188786
CHEMBL422872	CID124437
CHEMBL986	CID445354
CHEMBL521	CID3672
CHEMBL1341	CID4116
CHEMBL1201347	CID8944
CHEMBL1200733	CID42113
CHEMBL592445	CID44516953
CHEMBL1269257	CID51353551
CHEMBL1742993	CHEMBL1742993
CHEMBL499915	CID636403
CHEMBL1274	CID4493
CHEMBL2109588	CHEMBL2109588
CHEMBL21731	CID4011
CHEMBL469912	CID439530
CHEMBL1628605	CID53325928
CHEMBL1201355	CID16129675
CHEMBL1200600	CID9878
CHEMBL3544989	CID121494122
CHEMBL1200986	CID52919
CHEMBL1201001	CID5935
CHEMBL1738757	CID25066467
CHEMBL1201832	CHEMBL1201832
CHEMBL235191	CID2746
CHEMBL2096631	CID5281076
CHEMBL274654	CID5329099
CHEMBL1764	CID72287
CHEMBL62	CID3036864
CHEMBL3545120	CID16048643
CHEMBL1669669	CID25175634
CHEMBL404422	CID6473
CHEMBL589	CID5095
PEPTIDE 18 [PMID: 24350995]	CID75593419
CHEMBL3545386	CHEMBL3545386
CHEMBL931	CID3562
COMPOUND 14K [PMID: 21982499]	CID44222958
PHCCC	CID5866327
CHEMBL150894	CID10275001
CHEMBL260273	CID24827312
CHEMBL62381	CID104775
CHEMBL71	CID2726
TINZAPARIN	CID772
CHEMBL279898	CID1676
HOMO-AMPA	CID4236420
CHEMBL932	CID3108
CHEMBL26215	CID957
CHEMBL15594	CID444899
CHEMBL27769	CID10635
CHEMBL101	CID4781
CHEMBL1742995	CHEMBL1742995
CHEMBL525028	CID44567960
R24	CID2227970
COMPOUND 7 [WO2012007375]	CID58056092
CHEMBL1236539	CID72271
CHEMBL1201065	CID23677058
CHEMBL454	CID2481
CHEMBL492399	CID11414799
DNCB	CID6
CHEMBL550755	CID135449327
CHEMBL1091644	CID11640390
CHEMBL570352	CID10222574
CHEMBL82293	CID985
CHEMBL967	CID5391
CHEMBL636	CID77991
CHEMBL1908845	CID57391680
HS-173	CID52936849
CHEMBL485	CID5284371
CHEMBL435	CID3639
CHEMBL275224	CID64961
CHEMBL856	CID4909
CHEMBL1200694	CID5206
CHEMBL1542	CID2265
CHEMBL422	CID5566
CHEMBL284348	CID1727
CHEMBL91	CID4189
9-CIS RETINOIC ACID	CID449171
CHEMBL551223	CID45270374
CHEMBL403989	CID11973736
CHEMBL1643	CID37542
CHEMBL328250	CID37632
CHEMBL494089	CID16725726
CHEMBL750	CID11967800
CHEMBL449	CID2479
CHEMBL196779	CID9911469
CHEMBL1567	CID6456015
CHEMBL287327	CID6604749
CHEMBL255044	CID53276
CHEMBL2108278	CHEMBL2108278
CHEMBL3137309	CID49846579
CHEMBL3545215	CID50922691
CHEMBL74	CID59057527
CHEMBL3188091	CID16130933
CHEMBL284237	CID180081
CHEMBL1200819	CID46856326
CHEMBL3545416	CID25116064
CHEMBL222301	CID16726095
CHEMBL382300	CID6918412
HX 531	CID11755040
LY2087101	CID11964458
CHEMBL1622	CID6037
CHEMBL3116050	CID45275255
CHEMBL56367	CID4495
COMPOUND 5B [PMID: 25349648]	CID71078515
CHEMBL413	CID5284616
CHEMBL968	CID3393
CHEMBL1236962	CID25167777
CHEMBL1200865	CID444025
CHEMBL522892	CID135398510
CHEMBL1214124	CID9924495
CHEMBL285123	CID6857549
VASOACTIVE INTESTINAL PEPTIDE	CID53314964
CHEMBL600	CID12035
CHEMBL1186894	CID3035016
CHEMBL1200399	CID25137845
TP-472	CID123773279
CHEMBL3545026	CID16662431
CHEMBL3086883	CID135566899
ML381	CID42519285
CHEMBL281350	CID3378093
M826	CID9851134
CHEMBL386630	CID5408
SERATRODAST	CID2449
CHEMBL3	CID89594
CHEMBL260933	CID11270783
CHEMBL52	CID4534
CHEMBL3039583	CID73348210
CHEMBL1098	CID2474
CNS-7056	CID9867812
MSX-2	CID10046145
COMPOUND 1 [XIAO ET AL. 2014]	CID91623329
CHEMBL30	CID2756
CHEMBL1201644	CHEMBL1201644
CHEMBL3545432	CID56844015
CHEMBL1237022	CHEMBL1237022
COMPOUND 20 [PMID: 23489211]	CID71718651
CHEMBL679	CID5816
CHEMBL1084546	CID11713159
CHEMBL2068724	CID71311775
CHEMBL136800	CID148184
CHEMBL61006	CID4786
CHEMBL1200844	CID49800030
CHEMBL294951	CID27400
CHEMBL3545154	CID25127713
CHEMBL257591	CID311434
CHEMBL1444	CID3902
CHEMBL3545146	CHEMBL3545146
CHEMBL1236582	CID8163
CHEMBL3137342	CHEMBL3137342
5-CT	CID1809
CHEMBL1236970	CID32051
CHEMBL17860	CID30668
CHEMBL25	CID2244
CHEMBL14762	CID160355
CHEMBL396778	CID131682
CHEMBL23576	CID1573
COMPOUND 14B [PMID: 25742366]	CID91827386
CHEMBL1200648	CID441351
CHEMBL577784	CID10077147
CHEMBL689	CID6251
CHEMBL1207514	CID136776947
CHEMBL65	CID24360
CHEMBL768	CID59768
CHEMBL14687	CID1031
CHEMBL1743024	CHEMBL1743024
CHEMBL1201203	CID1201549
CHEMBL905	CID5078
CHEMBL309566	CID252696
CHEMBL1201533	CHEMBL1201533
CHEMBL803	CID6253
CHEMBL960	CID3899
CHEMBL1743040	CHEMBL1743040
CHEMBL1521	CID5719
CHEMBL125569	CID127861
STI571	CID5291
CHEMBL778	CID5311068
CHEMBL608533	CID9829523
CHEMBL12608	CID41376
CHEMBL554	CID208908
CHEMBL364713	CID275196
CHEMBL484785	CID44591583
CHEMBL1200402	CID11330522
20-HETE	CID5283157
CHEMBL1287853	CID16722836
CHEMBL2220486	CID25031915
SCH486757	CID11597355
CHEMBL525610	CID132274287
CHEMBL1265	CID60164
CHEMBL629	CID2160
CHEMBL54004	CID5276503
NADA	CID5282105
CHEMBL111077	CID11005
CHEMBL304858	CID1949
CHEMBL369928	CID44405630
CHEMBL3545194	CID44814409
CHEMBL1201823	CHEMBL1201823
CHEMBL2103778	CID6918107
CHEMBL1201837	CID118984459
CHEMBL135400	CID5735
CHEMBL3545063	CID78357807
GSK256073	CID46215799
CHEMBL407	CID3373
CHEMBL2110732	CID11511120
CHEMBL1201007	CID657362
CHEMBL90555	CID5978
CHEMBL2140408	CID24856041
CHEMBL1201419	CHEMBL1201419
COMPOUND 3B [PMID: 23454515]	CID136234578
CHEMBL574738	CID11409972
CHEMBL1232461	CID46943432
ALEXA-488-TELENZEPINE	CID91827379
CHEMBL426084	CID11667832
CHEMBL319144	CID130956
CHEMBL3545351	CID173480
CHEMBL2107572	CID158796
CHEMBL1725279	CID8515
CHEMBL506247	CID16129778
CHEMBL1256	CID3763
CHEMBL652	CID3356
CHEMBL221692	CID9887537
CHEMBL18785	CID108029
CHEMBL460702	CID24794418
AT-076	CID91938095
CHEMBL2325441	CID53346504
CHEMBL296419	CID2247
CHEMBL1851943	CID49855250
CHEMBL240773	CID54562
CHEMBL2261340	CID10058807
CHEMBL281398	CID6449876
COMPOUND 13B [PMID: 19101153]	CID42609940
UCPH-101	CID25223366
CHEMBL277062	CID2441
CHEMBL452715	CID135409347
CHEMBL1201328	CID18104
CHEMBL919	CID101587909
CHEMBL3707314	CHEMBL3707314
CHEMBL1515	CID1349907
EVT-201	CID9885841
RESMINOSTAT	CID11609955
CHEMBL392438	CID5280914
CHEMBL370805	CID446220
COMPOUND 21 [PMID: 23312943]	CID71553154
ALTROPANE	CID6440180
CHEMBL787	CID5281040
CHEMBL3707398	CHEMBL3707398
ECHISTATIN	CID16132434
CHEMBL297453	CID65064
CHEMBL1201244	CID441290
CHEMBL165	CID445154
CHEMBL521784	CID5311493
CHEMBL1773	CID60953
ALX40-4C	CID25077385
CHEMBL3218576	CID135565596
CHEMBL1201754	CID129228
CHEMBL2109584	CHEMBL2109584
CHEMBL3833393	CHEMBL3833393
CHEMBL39	CID5202
KH-CB19	CID44237094
CHEMBL1201037	CID441361
CHEMBL442	CID8223
CHEMBL1746	CID5258
CHEMBL26424	CID108092
CHEMBL169896	CID135403832
COMPOUND 53 [PMID: 23434029]	CID71580550
CHEMBL1043	CID2955
CHEMBL12314	CID68848
CHEMBL255088	CID44445025
CHEMBL17157	CID5405
CHEMBL1739	CID24244
CHEMBL1282	CID57469
CHEMBL1021	CID151075
CHEMBL285819	CID8974
CHEMBL124660	CID3038522
CHEMBL43452	CID134780
CHEMBL1201263	CID84088
CHEMBL517140	CID9798547
CHEMBL301742	CID6918881
DES-AA5-[D-TRP8]SRIF	CID44388128
MARGATOXIN	CID121596045
CHEMBL60254	CID5287736
CHEMBL317382	CID10045876
CHEMBL215152	CID16007391
CHEMBL325041	CID387447
CHEMBL274323	CID5960
CHEMBL1200814	CID13290219
CHEMBL1201210	CID4940
CALCIPOTRIOL	CID5288783
CHEMBL1763	CID3647
CHEMBL606111	CID46874763
(-)-NORADRENALINE	CID439260
CHEMBL1201610	CHEMBL1201610
CHEMBL2164243	CID15331
ECF506	CID121231408
CHEMBL469212	CID24949079
CHEMBL41716	CID11957727
CHEMBL3545166	CID10278470
CHEMBL482796	CID44251266
CHEMBL3545196	CID9916391
CHEMBL8145	CID5281708
CHEMBL2304041	CID11284169
CHEMBL483158	CID24771867
CHEMBL1201692	CHEMBL1201692
CHEMBL402162	CID15948325
CHEMBL1025	CID5936
CHEMBL1358	CID104741
CHEMBL1200843	CID5281072
CHEMBL1230609	CID42642645
CHEMBL2107723	CID5282338
CHEMBL1201027	CID11693
CHEMBL3108827	CID49847690
CHEMBL1182997	CID10102486
CHEMBL1200487	CID23668825
CHEMBL32503	CID107896
CHEMBL1275	CID47811
CHEMBL495727	CID135398495
CHEMBL3545078	CID51346455
CHEMBL1201666	CID118856773
COMPOUND 6EE [PMID: 22364528]	CID136205832
CHEMBL22587	CID55283
CHEMBL424	CID338
AZD6605	CID11641563
CHEMBL582	CID3776
CHEMBL19611	CID132519
CHEMBL2105107	CID6915835
CHEMBL1908396	CID9869779
CHEMBL1317823	CID119461
BGJ398	CID53235510
CHEMBL572878	CID5494449
CHEMBL573339	CID9884685
CHEMBL2108081	CHEMBL2108081
ONO-8711	CID9824507
CHEMBL2109092	CHEMBL2109092
CHEMBL1184	CID6060
CHEMBL2133556	CID2742550
CHEMBL406	CID3702
CHEMBL514800	CID11561674
CHEMBL3127326	CID54767916
THIOCHROME	CID66706
MLN-9708	CID49867936
CHEMBL27	CID4946
CHEMBL7728	CID3608
CHEMBL3545175	CID46871935
D(CH2)5[TYR(ET)2,VAL4,DES-GLY9]AVP	CID122322
CHEMBL1009	CID6047
CHEMBL607707	CID6445562
CHEMBL1231160	CID16720766
CHEMBL108778	CID6590
CHEMBL279115	CID27924
COMPOUND 13A [PMID: 23639540]	CID60182393
CHEMBL3234681	CID67029278
CHEMBL1237119	CID6918140
CHEMBL2028850	CID6918173
CHEMBL20963	CID3292447
CHEMBL1743016	CHEMBL1743016
CHEMBL76897	CID1734
CHEMBL3707348	CID71226662
CHEMBL534	CID3827
CHEMBL1645462	CID10437018
CHEMBL1200790	CID4162
CHEMBL160	CID5284373
CHEMBL1200601	CID25137850
CHEMBL305544	CID60921
CHEMBL538943	CID16051941
CHEMBL1200703	CHEMBL1200703
CHEMBL1201247	CID5311128
CHEMBL222863	CID439501
CHEMBL1237044	CID5523
NKY80	CID2772368
CHEMBL134	CID2803
CHEMBL2107882	CHEMBL2107882
CHEMBL2103840	CID46926350
CHEMBL1370561	CID9433
BENZODIAZEPINE	CID134664
XNT [PMID: 18391097]	CID337294
CHEMBL198059	CID5484725
CHEMBL3545321	CHEMBL3545321
CHEMBL3545353	CHEMBL3545353
CHEMBL1200798	CID657357
CHEMBL957	CID104865
CHF-5074	CID9996409
CHEMBL1180725	CID4934
CHEMBL1201563	CHEMBL1201563
CHEMBL49	CID2477
CHEMBL514201	CID9871074
CHEMBL2107387	CID56843850
CHEMBL85	CID5073
CHEMBL870	CID44400013
BMS-986020	CID49792850
CHEMBL1222251	CID892
CHEMBL2103863	CID11749858
CHEMBL382301	CID5311010
CHEMBL482950	CID9884366
CHEMBL274064	CID5164
CHEMBL1471	CID135413536
CHEMBL1200641	CID62886
CHEMBL1200907	CID656583
CHARYBDOTOXIN	CID56842037
COMPOUND 18 [PMID: 20873740]	CID24809764
CHEMBL3545285	CID10433653
CHEMBL1200728	CID5742
ASCIMINIB	CID72165228
CHEMBL2105760	CID11978813
CHEMBL1238	CID2266
CHEMBL1055	CID2732
CHEMBL12856	CID3698
CHEMBL112	CID1983
CHEMBL2105395	CID3036505
CHEMBL89241	CID5287705
CHEMBL1200776	CID156418
CHEMBL23094	CID20039
CHEMBL3833320	CHEMBL3833320
CHEMBL1289926	CID6450551
IL-94	CID73348907
[125I]SD6	CID86277836
CHEMBL1162	CID6230
CHEMBL3544927	CHEMBL3544927
CHEMBL1185	CID60857
CHEMBL572	CID6604200
CHEMBL560993	CID11462174
EXAMPLE 36 [WO2016177845]	CID122670075
CHEMBL834	CID44400012
AGN 191976	CID73755173
CHEMBL593430	CID9794485
CHEMBL1201063	CID657387
CHEMBL104943	CID700
CHEMBL2109662	CHEMBL2109662
CHEMBL585902	CID11167112
CHEMBL482967	CID6420138
CHEMBL53	CID6005
CHEMBL1148	CID51371498
CHEMBL1713082	CID5702128
CHEMBL3545142	CHEMBL3545142
CHEMBL573	CID938
CHEMBL275707	CID53389
CHEMBL2108508	CHEMBL2108508
CHEMBL3545265	CID11642049
CHEMBL1957038	CID219100
CHEMBL108	CID2554
CHEMBL1201614	CID118984394
CHEMBL1201565	CHEMBL1201565
CHEMBL1201201	CID10836
CHEMBL1200775	CID657180
CHEMBL471737	CID132999
CHEMBL427216	CID3475
CHEMBL1201341	CID10548
CHEMBL50	CID5280343
CHEMBL2007641	CHEMBL2007641
COMPOUND 26 [PMID: 21733693]	CID46927672
CHEMBL157138	CID28864
CHEMBL1016	CID2541
CHEMBL52885	CID5327686
CHEMBL3545085	CID59757974
CHEMBL640	CID4913
CHEMBL344662	CID10416728
ND-2158	CID86343751
CHEMBL971	CID23676152
CHEMBL7010	CID14584
CHEMBL2107877	CHEMBL2107877
RKI-1447	CID60138149
CHEMBL744	CID5070
CHEMBL3545048	CID68947304
CHEMBL220492	CID5284627
CHEMBL1257	CID3226
CHEMBL252764	CID5311375
CHEMBL1200699	CID54684461
CHEMBL2062276	CID16051988
CHEMBL1615835	CID46233428
CHEMBL1201178	CID11597697
SELENIUM	CID6326970
CHEMBL444186	CID30623
CHEMBL1909300	CHEMBL1909300
EXENDIN-(9-39)	CID129012199
CHEMBL1090479	CID46885626
CHEMBL1200802	CID8275
CHEMBL116837	CID9867949
CHEMBL314010	CID2372
METHOPRENE ACID	CID5353760
CHEMBL3103988	CID11998180
CHEMBL395429	CID439302
CHEMBL54	CID3559
CHEMBL1068	CID34312
COMPOUND 2F [PMID: 2153213]	CID56947023
CHEMBL1201024	CID49800046
NNC 11-1607	CID9985526
CHEMBL88272	CID3894573
CHEMBL1230607	CID46191454
CHEMBL479	CID5452
CHEMBL485673	CID104781
RN486	CID46908026
CHEMBL13790	CID1354
CHEMBL1110	CID2099
CHEMBL591	CID5281077
LYSOPHOSPHATIDYLCHOLINE	CID5311264
CHEMBL1946170	CID11167602
CHEMBL275006	CID3538
CHEMBL631	CID4932
CHEMBL601719	CID11626560
CHEMBL1276308	CID55245
CHEMBL1670	CID4211
BAY 60-6583	CID11717831
ROMIDEPSIN	CID5352062
CHEMBL448	CID4737
CHEMBL742	CID3821
CHEMBL734	CID1990
CHEMBL1174	CID448812
CHEMBL3544958	CHEMBL3544958
CHEMBL1200773	CID108173
CHEMBL1201483	CHEMBL1201483
CHEMBL289469	CID3510
MM-111	CHEMBL4297556
CHEMBL1200647	CID10079874
CHEMBL104028	CID8068410
CHEMBL447955	CID23653789
CHEMBL1801204	CID25262965
CHEMBL88147	CID393595
AN-2898	CID24806574
CHEMBL2146126	CID3028194
CHEMBL48361	CID216210
SHO-SAIKO-TO	CID5281605
CHEMBL329305	CID5311147
CHEMBL1200982	CID102090428
CHEMBL10347	CID643606
CHEMBL247471	CID11249248
CHEMBL279785	CID119031
RONOMILAST	CID9803446
CHEMBL61511	CID38347
CHEMBL504548	CID163091
CHEMBL49642	CID2929
CHEMBL301982	CID122724
CHEMBL69330	CID445713
CHEMBL52939	CID5160
CHEMBL1898523	CID517314
CHEMBL435278	CID1517
CHEMBL2104976	CID23663419
CHEMBL3186179	CID18971832
CHEMBL2010872	CID11751922
CHEMBL2108338	CHEMBL2108338
CHEMBL1774204	CID5311022
CHEMBL762	CID4636
CHEMBL2368925	CID3033818
CHEMBL1522	CID969472
CHEMBL1200920	CID60210735
CHEMBL6437	CID4184
CHEMBL1769	CID11078
CHEMBL23254	CID448991
CHEMBL337612	CID65955
RS 93520	CID6438966
CHEMBL293526	CID154000
CHEMBL2108110	CHEMBL2108110
CHEMBL1201581	CHEMBL1201581
CHEMBL2095212	CID9865528
CHEMBL231616	CID9571836
CHEMBL964	CID3117
CHEMBL122	CID5090
HEPARAN SULFATE	CID53477715
CHEMBL168815	CID2684
CHEMBL301523	CID6140
CHEMBL426560	CID6914666
CHEMBL87385	CID5372683
CHEMBL2107016	CID114750
CHEMBL103	CID5994
RO4929097	CID49867930
CHEMBL225071	CID135400182
CHEMBL1483	CID2082
CHEMBL408513	CID6918638
AZD8931	CID11488320
FRAX597	CID70934541
NERVE GROWTH FACTOR	CHEMBL4297796
CHEMBL1201087	CID54746
CHEMBL275040	CID10255
CHEMBL1201460	CHEMBL1201460
CHEMBL1200597	CID9796823
CHEMBL411	CID448537
CHEMBL476323	CID11697697
CHEMBL192509	CID5497124
CHEMBL1682258	CID6438757
CHEMBL2103875	CID11707110
CHEMBL2103847	CID15547703
CHEMBL1201649	CHEMBL1201649
CHEMBL888	CID60750
CHEMBL1396	CID170361
CHEMBL373742	CID644077
CHEMBL2017974	CID16654980
